origen_jefe,area_f,sexo_jefe,edad_tramo,quintil,expr,n,w_Educacion,w_Salud,w_Trabajo y Seg. Social,w_Vivienda y Entorno,w_Redes y Cohesion
Hogares chilenos,Urbano,Mujer,Adulto (30-59),IV,21680.0,456,1602.0,2584.0,4955.0,3411.0,5820.0
Hogares chilenos,Urbano,Mujer,Adulto (30-59),V,16706.0,326,470.0,1284.0,2144.0,1465.0,4145.0
Hogares chilenos,Urbano,Mujer,Joven (≤29),I,2757.0,43,1071.0,506.0,1863.0,2615.0,705.0
Hogares chilenos,Urbano,Mujer,Joven (≤29),II,2274.0,45,626.0,470.0,1217.0,1093.0,638.0
Hogares chilenos,Urbano,Mujer,Joven (≤29),III,3115.0,62,547.0,689.0,897.0,806.0,1113.0
Hogares chilenos,Urbano,Mujer,Joven (≤29),IV,2483.0,50,60.0,356.0,660.0,718.0,665.0
Hogares chilenos,Urbano,Mujer,Joven (≤29),V,1763.0,38,52.0,75.0,0.0,193.0,584.0
Hogares chilenos,Urbano,Mujer,Mayor (60+),I,13541.0,409,4928.0,1793.0,6890.0,5670.0,5062.0
Hogares chilenos,Urbano,Mujer,Mayor (60+),II,12729.0,342,4425.0,1509.0,7158.0,3183.0,4314.0
Hogares chilenos,Urbano,Mujer,Mayor (60+),III,12639.0,331,3575.0,1310.0,6808.0,2482.0,3825.0
Hogares chilenos,Urbano,Mujer,Mayor (60+),IV,10693.0,262,2031.0,1021.0,5101.0,1326.0,2807.0
Hogares chilenos,Urbano,Mujer,Mayor (60+),V,4065.0,108,180.0,398.0,1393.0,325.0,1122.0
Hogares inmigrantes,Rural,Hombre,Adulto (30-59),I,1050.0,19,724.0,399.0,532.0,2105.0,373.0
Hogares inmigrantes,Rural,Hombre,Adulto (30-59),II,678.0,18,419.0,150.0,653.0,955.0,299.0
Hogares inmigrantes,Rural,Hombre,Adulto (30-59),III,674.0,17,297.0,86.0,626.0,748.0,209.0
Hogares inmigrantes,Rural,Hombre,Adulto (30-59),IV,879.0,10,191.0,292.0,148.0,505.0,332.0
Hogares inmigrantes,Rural,Hombre,Adulto (30-59),V,59.0,2,12.0,47.0,12.0,24.0,0.0
Hogares inmigrantes,Rural,Hombre,Joven (≤29),I,322.0,4,32.0,155.0,271.0,747.0,0.0
Hogares inmigrantes,Rural,Hombre,Joven (≤29),II,177.0,4,174.0,121.0,177.0,514.0,139.0
Hogares inmigrantes,Rural,Hombre,Joven (≤29),III,346.0,4,223.0,0.0,346.0,438.0,223.0
Hogares inmigrantes,Rural,Hombre,Joven (≤29),IV,157.0,4,37.0,71.0,127.0,213.0,0.0
Hogares inmigrantes,Rural,Hombre,Mayor (60+),I,48.0,2,48.0,31.0,48.0,113.0,62.0
Hogares inmigrantes,Rural,Hombre,Mayor (60+),II,30.0,1,0.0,0.0,30.0,30.0,0.0
Hogares inmigrantes,Rural,Hombre,Mayor (60+),IV,44.0,1,0.0,0.0,44.0,88.0,0.0
Hogares inmigrantes,Rural,Mujer,Adulto (30-59),I,1323.0,35,553.0,161.0,806.0,2461.0,650.0
Hogares inmigrantes,Rural,Mujer,Adulto (30-59),II,1035.0,24,215.0,554.0,864.0,1252.0,176.0
Hogares inmigrantes,Rural,Mujer,Adulto (30-59),III,508.0,15,377.0,286.0,221.0,771.0,208.0
Hogares inmigrantes,Rural,Mujer,Adulto (30-59),IV,220.0,9,28.0,40.0,40.0,161.0,89.0
Hogares inmigrantes,Rural,Mujer,Joven (≤29),I,429.0,9,191.0,163.0,359.0,849.0,174.0
Hogares inmigrantes,Rural,Mujer,Joven (≤29),II,172.0,3,145.0,161.0,161.0,188.0,134.0
Hogares inmigrantes,Rural,Mujer,Joven (≤29),III,84.0,4,0.0,64.0,77.0,68.0,0.0
Hogares inmigrantes,Rural,Mujer,Joven (≤29),IV,78.0,2,0.0,78.0,78.0,2.0,0.0
Hogares inmigrantes,Rural,Mujer,Mayor (60+),I,41.0,2,41.0,0.0,54.0,54.0,28.0
Hogares inmigrantes,Rural,Mujer,Mayor (60+),II,62.0,1,0.0,62.0,62.0,186.0,0.0
