zona,estado_pob,area_f,sexo_jefe,edad_tramo,quintil,expr,n
Zona Central,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),III,194.0,2
Zona Central,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),I,3237.0,16
Zona Central,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),II,2789.0,47
Zona Central,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),III,2664.0,33
Zona Central,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),IV,1223.0,16
Zona Central,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),V,284.0,4
Zona Central,Pobreza multidimensional,Rural,Hombre,Joven (≤29),II,454.0,5
Zona Central,Pobreza multidimensional,Rural,Hombre,Joven (≤29),III,96.0,1
Zona Central,Pobreza multidimensional,Rural,Hombre,Mayor (60+),I,3499.0,64
Zona Central,Pobreza multidimensional,Rural,Hombre,Mayor (60+),II,4126.0,51
Zona Central,Pobreza multidimensional,Rural,Hombre,Mayor (60+),III,1737.0,21
Zona Central,Pobreza multidimensional,Rural,Hombre,Mayor (60+),IV,877.0,12
Zona Central,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),I,1333.0,24
Zona Central,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),II,3152.0,48
Zona Central,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),III,2160.0,25
Zona Central,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),IV,721.0,8
Zona Central,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),V,132.0,2
Zona Central,Pobreza multidimensional,Rural,Mujer,Joven (≤29),I,251.0,3
Zona Central,Pobreza multidimensional,Rural,Mujer,Joven (≤29),II,297.0,5
Zona Central,Pobreza multidimensional,Rural,Mujer,Joven (≤29),III,109.0,2
Zona Central,Pobreza multidimensional,Rural,Mujer,Joven (≤29),IV,292.0,3
Zona Central,Pobreza multidimensional,Rural,Mujer,Mayor (60+),I,1781.0,34
Zona Central,Pobreza multidimensional,Rural,Mujer,Mayor (60+),II,2131.0,39
Zona Central,Pobreza multidimensional,Rural,Mujer,Mayor (60+),III,1380.0,23
Zona Central,Pobreza multidimensional,Rural,Mujer,Mayor (60+),IV,484.0,10
Zona Central,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),I,6114.0,46
Zona Central,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),II,28021.0,179
Zona Central,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),III,30395.0,163
Zona Central,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),IV,18085.0,83
Zona Central,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),V,6001.0,28
Zona Central,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),II,2905.0,14
Zona Central,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),III,4534.0,25
Zona Central,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),IV,4083.0,17
Zona Central,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),V,1669.0,4
Zona Central,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),I,14927.0,113
Zona Central,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),II,22610.0,159
Zona Central,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),III,14510.0,114
Zona Central,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),IV,7610.0,48
Zona Central,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),V,1972.0,11
Zona Central,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),I,12795.0,95
Zona Central,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),II,46198.0,329
Zona Central,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),III,40022.0,255
Zona Central,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),IV,16293.0,105
Zona Central,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),V,5021.0,21
Zona Central,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),I,920.0,5
Zona Central,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),II,5970.0,33
Zona Central,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),III,5564.0,33
Zona Central,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),IV,2884.0,19
Zona Central,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),V,571.0,3
Zona Central,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),I,18357.0,153
Zona Central,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),II,25761.0,192
Zona Central,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),III,19128.0,129
Zona Central,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),IV,8698.0,62
Zona Central,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),V,759.0,9
Zona Central,Pobreza por ingresos,Rural,Hombre,Adulto (30-59),I,9673.0,143
Zona Central,Pobreza por ingresos,Rural,Hombre,Adulto (30-59),II,2726.0,32
Zona Central,Pobreza por ingresos,Rural,Hombre,Joven (≤29),I,850.0,11
Zona Central,Pobreza por ingresos,Rural,Hombre,Joven (≤29),II,254.0,3
Zona Central,Pobreza por ingresos,Rural,Hombre,Mayor (60+),I,11733.0,196
Zona Central,Pobreza por ingresos,Rural,Hombre,Mayor (60+),II,1268.0,22
Zona Central,Pobreza por ingresos,Rural,Hombre,Mayor (60+),III,56.0,1
Zona Central,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),I,11239.0,188
Zona Central,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),II,2883.0,43
Zona Central,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),III,237.0,2
Zona Central,Pobreza por ingresos,Rural,Mujer,Joven (≤29),I,1026.0,14
Zona Central,Pobreza por ingresos,Rural,Mujer,Joven (≤29),II,610.0,5
Zona Central,Pobreza por ingresos,Rural,Mujer,Mayor (60+),I,9882.0,205
Zona Central,Pobreza por ingresos,Rural,Mujer,Mayor (60+),II,958.0,27
Zona Central,Pobreza por ingresos,Rural,Mujer,Mayor (60+),III,19.0,1
Zona Central,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),I,66059.0,448
Zona Central,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),II,34033.0,208
Zona Central,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),III,942.0,6
Zona Central,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),I,10070.0,69
Zona Central,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),II,8978.0,56
Zona Central,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),III,490.0,3
Zona Central,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),I,41620.0,384
Zona Central,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),II,6902.0,59
Zona Central,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),III,488.0,3
Zona Central,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),I,103482.0,911
Zona Central,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),II,39176.0,315
Zona Central,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),III,945.0,6
Zona Central,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),I,12858.0,94
Zona Central,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),II,10403.0,71
Zona Central,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),III,1087.0,8
Zona Central,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),I,75158.0,764
Zona Central,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),II,11330.0,116
Zona Central,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),III,378.0,3
Zona Sur,Pobreza ingresos y multidim.,Rural,Hombre,Adulto (30-59),I,7288.0,128
Zona Sur,Pobreza ingresos y multidim.,Rural,Hombre,Adulto (30-59),II,535.0,9
Zona Sur,Pobreza ingresos y multidim.,Rural,Hombre,Joven (≤29),I,194.0,4
Zona Sur,Pobreza ingresos y multidim.,Rural,Hombre,Mayor (60+),I,6728.0,147
Zona Sur,Pobreza ingresos y multidim.,Rural,Hombre,Mayor (60+),II,197.0,6
Zona Sur,Pobreza ingresos y multidim.,Rural,Mujer,Adulto (30-59),I,7812.0,156
Zona Sur,Pobreza ingresos y multidim.,Rural,Mujer,Adulto (30-59),II,506.0,8
Zona Sur,Pobreza ingresos y multidim.,Rural,Mujer,Joven (≤29),I,473.0,8
Zona Sur,Pobreza ingresos y multidim.,Rural,Mujer,Mayor (60+),I,4531.0,115
Zona Sur,Pobreza ingresos y multidim.,Rural,Mujer,Mayor (60+),II,331.0,8
Zona Sur,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),I,10490.0,128
Zona Sur,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),II,3102.0,34
Zona Sur,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),III,250.0,2
Zona Sur,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),I,727.0,9
Zona Sur,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),II,594.0,6
Zona Sur,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),III,50.0,1
Zona Sur,Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),I,5450.0,89
Zona Sur,Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),II,376.0,6
Zona Sur,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),I,23054.0,347
Zona Sur,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),II,2967.0,36
Zona Sur,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),III,60.0,1
Zona Sur,Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),I,1977.0,22
Zona Sur,Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),II,1322.0,14
Zona Sur,Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),III,67.0,1
Zona Sur,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),I,9212.0,162
Zona Sur,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),II,687.0,12
Zona Sur,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),I,2109.0,38
Zona Sur,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),II,3083.0,58
Zona Sur,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),III,1995.0,30
Zona Sur,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),IV,640.0,8
Zona Sur,Pobreza multidimensional,Rural,Hombre,Joven (≤29),I,79.0,1
Zona Sur,Pobreza multidimensional,Rural,Hombre,Joven (≤29),II,426.0,6
Zona Sur,Pobreza multidimensional,Rural,Hombre,Joven (≤29),III,139.0,2
Zona Sur,Pobreza multidimensional,Rural,Hombre,Mayor (60+),I,4786.0,93
Zona Sur,Pobreza multidimensional,Rural,Hombre,Mayor (60+),II,2479.0,52
Zona Sur,Pobreza multidimensional,Rural,Hombre,Mayor (60+),III,1559.0,35
Zona Sur,Pobreza multidimensional,Rural,Hombre,Mayor (60+),IV,544.0,11
Zona Sur,Pobreza multidimensional,Rural,Hombre,Mayor (60+),V,92.0,2
Zona Sur,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),I,1225.0,26
Zona Sur,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),II,3251.0,63
Zona Sur,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),III,1662.0,28
Zona Sur,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),IV,470.0,7
Zona Sur,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),V,35.0,1
Zona Sur,Pobreza multidimensional,Rural,Mujer,Joven (≤29),I,53.0,1
Zona Sur,Pobreza multidimensional,Rural,Mujer,Joven (≤29),II,243.0,4
Zona Sur,Pobreza multidimensional,Rural,Mujer,Joven (≤29),V,95.0,1
Zona Sur,Pobreza multidimensional,Rural,Mujer,Mayor (60+),I,3164.0,57
Zona Sur,Pobreza multidimensional,Rural,Mujer,Mayor (60+),II,2170.0,42
Zona Sur,Pobreza multidimensional,Rural,Mujer,Mayor (60+),III,801.0,21
Zona Sur,Pobreza multidimensional,Rural,Mujer,Mayor (60+),IV,381.0,7
Zona Sur,Pobreza multidimensional,Rural,Mujer,Mayor (60+),V,59.0,1
Zona Sur,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),I,2717.0,37
Zona Sur,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),II,8206.0,110
Zona Sur,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),III,4934.0,62
Zona Sur,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),IV,2594.0,28
Zona Sur,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),V,893.0,9
Zona Sur,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),I,41.0,1
Zona Sur,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),II,608.0,8
Zona Sur,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),III,430.0,5
Zona Sur,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),IV,520.0,7
Zona Sur,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),V,79.0,1
Zona Sur,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),I,4609.0,80
Zona Sur,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),II,5717.0,93
Zona Sur,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),III,3141.0,48
Zona Sur,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),IV,918.0,14
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),I,5651.0,85
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),II,11149.0,161
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),III,7979.0,111
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),IV,1541.0,22
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),V,474.0,7
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),I,217.0,2
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),II,1070.0,15
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),III,499.0,7
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),IV,542.0,8
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),V,72.0,1
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),I,4350.0,73
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),II,6467.0,110
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),III,4116.0,64
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),IV,1751.0,27
Zona Sur,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),V,239.0,3
Zona Sur,Pobreza por ingresos,Rural,Hombre,Adulto (30-59),I,13691.0,241
Zona Sur,Pobreza por ingresos,Rural,Hombre,Adulto (30-59),II,3451.0,51
Zona Sur,Pobreza por ingresos,Rural,Hombre,Adulto (30-59),III,96.0,1
Zona Sur,Pobreza por ingresos,Rural,Hombre,Joven (≤29),I,429.0,5
Zona Sur,Pobreza por ingresos,Rural,Hombre,Joven (≤29),II,341.0,5
Zona Sur,Pobreza por ingresos,Rural,Hombre,Mayor (60+),I,16667.0,321
Zona Sur,Pobreza por ingresos,Rural,Hombre,Mayor (60+),II,1464.0,28
Zona Sur,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),I,13258.0,262
Zona Sur,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),II,2423.0,40
Zona Sur,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),III,36.0,1
Zona Sur,Pobreza por ingresos,Rural,Mujer,Joven (≤29),I,1221.0,18
Zona Sur,Pobreza por ingresos,Rural,Mujer,Joven (≤29),II,303.0,6
Zona Sur,Pobreza por ingresos,Rural,Mujer,Joven (≤29),III,40.0,1
Zona Sur,Pobreza por ingresos,Rural,Mujer,Mayor (60+),I,12835.0,292
Zona Sur,Pobreza por ingresos,Rural,Mujer,Mayor (60+),II,1074.0,27
Zona Sur,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),I,29385.0,361
Zona Sur,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),II,12915.0,147
Zona Sur,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),III,1300.0,12
Zona Sur,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),I,4799.0,59
Zona Sur,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),II,3498.0,42
Zona Sur,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),III,634.0,9
Zona Sur,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),I,21511.0,344
Zona Sur,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),II,3030.0,48
Zona Sur,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),III,144.0,2
Zona Sur,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),I,54965.0,857
Zona Sur,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),II,15591.0,230
Zona Sur,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),III,578.0,10
Zona Sur,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),I,6859.0,86
Zona Sur,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),II,4894.0,72
Zona Sur,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),III,526.0,9
Zona Sur,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),I,37350.0,700
Zona Sur,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),II,4365.0,95
Zona Sur,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),III,46.0,1
