zona,estado_pob,area_f,sexo_jefe,edad_tramo,quintil,expr,n
Norte Chico,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),V,331.0,4
Norte Chico,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),I,153.0,1
Norte Chico,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),II,412.0,5
Norte Chico,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),III,462.0,7
Norte Chico,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),I,1625.0,32
Norte Chico,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),II,1870.0,32
Norte Chico,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),III,1577.0,32
Norte Chico,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),IV,367.0,8
Norte Chico,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),V,69.0,3
Norte Chico,Pobreza por ingresos,Rural,Hombre,Adulto (30-59),I,2540.0,32
Norte Chico,Pobreza por ingresos,Rural,Hombre,Adulto (30-59),II,870.0,10
Norte Chico,Pobreza por ingresos,Rural,Hombre,Joven (≤29),I,87.0,1
Norte Chico,Pobreza por ingresos,Rural,Hombre,Mayor (60+),I,3104.0,55
Norte Chico,Pobreza por ingresos,Rural,Hombre,Mayor (60+),II,323.0,7
Norte Chico,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),I,3222.0,59
Norte Chico,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),II,195.0,5
Norte Chico,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),III,38.0,1
Norte Chico,Pobreza por ingresos,Rural,Mujer,Joven (≤29),I,312.0,5
Norte Chico,Pobreza por ingresos,Rural,Mujer,Mayor (60+),I,2038.0,51
Norte Chico,Pobreza por ingresos,Rural,Mujer,Mayor (60+),II,88.0,4
Norte Chico,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),I,7202.0,99
Norte Chico,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),II,2404.0,38
Norte Chico,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),III,219.0,2
Norte Chico,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),I,760.0,12
Norte Chico,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),II,795.0,13
Norte Chico,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),I,5098.0,99
Norte Chico,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),II,574.0,14
Norte Chico,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),I,13700.0,257
Norte Chico,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),II,4009.0,71
Norte Chico,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),III,98.0,2
Norte Chico,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),I,1919.0,27
Norte Chico,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),II,880.0,19
Norte Chico,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),I,8736.0,186
Norte Chico,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),II,664.0,21
Norte Chico,Pobreza por ingresos,Urbano,Mujer,Mayor (60+),III,16.0,1
Norte Grande,Pobreza ingresos y multidim.,Rural,Hombre,Adulto (30-59),I,583.0,11
Norte Grande,Pobreza ingresos y multidim.,Rural,Hombre,Adulto (30-59),II,168.0,4
Norte Grande,Pobreza ingresos y multidim.,Rural,Hombre,Joven (≤29),I,303.0,3
Norte Grande,Pobreza ingresos y multidim.,Rural,Hombre,Joven (≤29),II,167.0,2
Norte Grande,Pobreza ingresos y multidim.,Rural,Hombre,Mayor (60+),I,148.0,6
Norte Grande,Pobreza ingresos y multidim.,Rural,Hombre,Mayor (60+),II,43.0,1
Norte Grande,Pobreza ingresos y multidim.,Rural,Mujer,Adulto (30-59),I,561.0,23
Norte Grande,Pobreza ingresos y multidim.,Rural,Mujer,Adulto (30-59),II,87.0,4
Norte Grande,Pobreza ingresos y multidim.,Rural,Mujer,Joven (≤29),I,264.0,5
Norte Grande,Pobreza ingresos y multidim.,Rural,Mujer,Mayor (60+),I,103.0,7
Norte Grande,Pobreza ingresos y multidim.,Rural,Mujer,Mayor (60+),III,17.0,1
Norte Grande,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),I,3784.0,78
Norte Grande,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),II,1892.0,30
Norte Grande,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),I,491.0,9
Norte Grande,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),II,775.0,10
Norte Grande,Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),I,1131.0,27
Norte Grande,Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),II,100.0,3
Norte Grande,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),I,7799.0,178
Norte Grande,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),II,3042.0,67
Norte Grande,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),III,14.0,1
Norte Grande,Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),I,1968.0,25
Norte Grande,Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),II,671.0,12
Norte Grande,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),I,1757.0,49
Norte Grande,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),II,389.0,9
Norte Grande,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),III,29.0,1
Norte Grande,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),I,135.0,4
Norte Grande,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),II,352.0,9
Norte Grande,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),III,369.0,11
Norte Grande,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),IV,302.0,5
Norte Grande,Pobreza multidimensional,Rural,Hombre,Joven (≤29),II,7.0,1
Norte Grande,Pobreza multidimensional,Rural,Hombre,Joven (≤29),III,284.0,3
Norte Grande,Pobreza multidimensional,Rural,Hombre,Joven (≤29),IV,30.0,1
Norte Grande,Pobreza multidimensional,Rural,Hombre,Mayor (60+),I,94.0,5
Norte Grande,Pobreza multidimensional,Rural,Hombre,Mayor (60+),II,132.0,6
