estado_pob,area_f,sexo_jefe,edad_tramo,quintil,expr,n
Pobreza ingresos y multidim.,Rural,Mujer,Mayor (60+),III,17.0,1
Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),I,50531.0,475
Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),II,22276.0,155
Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),III,1281.0,5
Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),I,5385.0,51
Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),II,3595.0,33
Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),III,269.0,2
Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),I,20459.0,258
Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),II,2831.0,28
Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),I,96060.0,1109
Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),II,23278.0,236
Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),III,141.0,3
Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),I,11940.0,110
Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),II,7178.0,55
Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),III,67.0,1
Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),I,37590.0,477
Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),II,3216.0,46
Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),III,223.0,3
Pobreza multidimensional,Rural,Hombre,Adulto (30-59),I,5678.0,61
Pobreza multidimensional,Rural,Hombre,Adulto (30-59),II,6835.0,124
Pobreza multidimensional,Rural,Hombre,Adulto (30-59),III,5410.0,85
Pobreza multidimensional,Rural,Hombre,Adulto (30-59),IV,2165.0,29
Pobreza multidimensional,Rural,Hombre,Adulto (30-59),V,284.0,4
Pobreza multidimensional,Rural,Hombre,Joven (≤29),I,79.0,1
Pobreza multidimensional,Rural,Hombre,Joven (≤29),II,918.0,13
Pobreza multidimensional,Rural,Hombre,Joven (≤29),III,519.0,6
Pobreza multidimensional,Rural,Hombre,Joven (≤29),IV,30.0,1
Pobreza multidimensional,Rural,Hombre,Mayor (60+),I,9075.0,174
Pobreza multidimensional,Rural,Hombre,Mayor (60+),II,7427.0,126
Pobreza multidimensional,Rural,Hombre,Mayor (60+),III,3795.0,72
Pobreza multidimensional,Rural,Hombre,Mayor (60+),IV,1766.0,33
Pobreza multidimensional,Rural,Hombre,Mayor (60+),V,92.0,2
Pobreza multidimensional,Rural,Mujer,Adulto (30-59),I,3094.0,59
Pobreza multidimensional,Rural,Mujer,Adulto (30-59),II,7252.0,133
Pobreza multidimensional,Rural,Mujer,Adulto (30-59),III,4588.0,72
Pobreza multidimensional,Rural,Mujer,Adulto (30-59),IV,1397.0,21
Pobreza multidimensional,Rural,Mujer,Adulto (30-59),V,208.0,4
Pobreza multidimensional,Rural,Mujer,Joven (≤29),I,304.0,4
Pobreza multidimensional,Rural,Mujer,Joven (≤29),II,761.0,12
Pobreza multidimensional,Rural,Mujer,Joven (≤29),III,145.0,4
Pobreza multidimensional,Rural,Mujer,Joven (≤29),IV,292.0,3
Pobreza multidimensional,Rural,Mujer,Joven (≤29),V,95.0,1
Pobreza multidimensional,Rural,Mujer,Mayor (60+),I,5326.0,103
Pobreza multidimensional,Rural,Mujer,Mayor (60+),II,4703.0,95
Pobreza multidimensional,Rural,Mujer,Mayor (60+),III,2361.0,54
Pobreza multidimensional,Rural,Mujer,Mayor (60+),IV,1004.0,22
Pobreza multidimensional,Rural,Mujer,Mayor (60+),V,59.0,1
Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),I,10021.0,103
Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),II,41984.0,401
Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),III,41974.0,342
Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),IV,25274.0,180
Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),V,7630.0,49
Pobreza multidimensional,Urbano,Hombre,Joven (≤29),I,236.0,4
Pobreza multidimensional,Urbano,Hombre,Joven (≤29),II,4318.0,35
Pobreza multidimensional,Urbano,Hombre,Joven (≤29),III,6071.0,49
Pobreza multidimensional,Urbano,Hombre,Joven (≤29),IV,5157.0,34
Pobreza multidimensional,Urbano,Hombre,Joven (≤29),V,1777.0,6
Pobreza multidimensional,Urbano,Hombre,Mayor (60+),I,21521.0,234
Pobreza multidimensional,Urbano,Hombre,Mayor (60+),II,31559.0,329
Pobreza multidimensional,Urbano,Hombre,Mayor (60+),III,19966.0,218
Pobreza multidimensional,Urbano,Hombre,Mayor (60+),IV,9477.0,84
Pobreza multidimensional,Urbano,Hombre,Mayor (60+),V,2334.0,20
Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),I,21191.0,240
Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),II,67312.0,703
Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),III,54711.0,503
Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),IV,20607.0,175
Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),V,5961.0,36
Pobreza multidimensional,Urbano,Mujer,Joven (≤29),I,1368.0,9
Pobreza multidimensional,Urbano,Mujer,Joven (≤29),II,8339.0,70
Pobreza multidimensional,Urbano,Mujer,Joven (≤29),III,7191.0,60
Pobreza multidimensional,Urbano,Mujer,Joven (≤29),IV,3790.0,36
Pobreza multidimensional,Urbano,Mujer,Joven (≤29),V,643.0,4
Pobreza multidimensional,Urbano,Mujer,Mayor (60+),I,26040.0,307
Pobreza multidimensional,Urbano,Mujer,Mayor (60+),II,36266.0,394
Pobreza multidimensional,Urbano,Mujer,Mayor (60+),III,26504.0,278
Pobreza multidimensional,Urbano,Mujer,Mayor (60+),IV,11305.0,112
Pobreza multidimensional,Urbano,Mujer,Mayor (60+),V,1115.0,17
Pobreza por ingresos,Rural,Hombre,Adulto (30-59),I,26502.0,433
Pobreza por ingresos,Rural,Hombre,Adulto (30-59),II,7320.0,103
Pobreza por ingresos,Rural,Hombre,Adulto (30-59),III,184.0,4
Pobreza por ingresos,Rural,Hombre,Joven (≤29),I,1403.0,19
Pobreza por ingresos,Rural,Hombre,Joven (≤29),II,642.0,9
Pobreza por ingresos,Rural,Hombre,Mayor (60+),I,32176.0,613
Pobreza por ingresos,Rural,Hombre,Mayor (60+),II,3187.0,62
Pobreza por ingresos,Rural,Hombre,Mayor (60+),III,56.0,1
Pobreza por ingresos,Rural,Mujer,Adulto (30-59),I,29001.0,555
Pobreza por ingresos,Rural,Mujer,Adulto (30-59),II,6385.0,107
Pobreza por ingresos,Rural,Mujer,Adulto (30-59),III,311.0,4
Pobreza por ingresos,Rural,Mujer,Joven (≤29),I,3078.0,46
Pobreza por ingresos,Rural,Mujer,Joven (≤29),II,939.0,13
Pobreza por ingresos,Rural,Mujer,Joven (≤29),III,40.0,1
Pobreza por ingresos,Rural,Mujer,Mayor (60+),I,25149.0,571
Pobreza por ingresos,Rural,Mujer,Mayor (60+),II,2208.0,62
Pobreza por ingresos,Rural,Mujer,Mayor (60+),III,19.0,1
Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),I,109805.0,1057
Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),II,54865.0,488
Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),III,2906.0,28
Pobreza por ingresos,Urbano,Hombre,Joven (≤29),I,17211.0,169
Pobreza por ingresos,Urbano,Hombre,Joven (≤29),II,14245.0,134
Pobreza por ingresos,Urbano,Hombre,Joven (≤29),III,1213.0,15
Pobreza por ingresos,Urbano,Hombre,Mayor (60+),I,74306.0,989
Pobreza por ingresos,Urbano,Hombre,Mayor (60+),II,11330.0,138
