origen_jefe,n_hog,n_pond,Educacion,Salud,Trabajo y Seg. Social,Vivienda y Entorno,Redes y Cohesion
Hogares chilenos,7779,364423,0.17861111949575081,0.11935854762185702,0.3944536980377199,0.25263773142748946,0.31283700534818054
Hogares inmigrantes,1594,85898,0.35879764371696665,0.26536124240378123,0.6354862744184964,0.5817015530047266,0.49821881766746606
